AnimeTitle,ID,Status
Machikado Mazoku,39071,Completed
Machikado Mazoku: 2-choume,42745,On-Hold
Machine-Doll wa Kizutsukanai,17247,Plan to Watch
Made in Abyss,34599,Completed
Maesetsu!,40085,Completed
Magatsu Wahrheit: Zuerst,37599,Completed
Mahou Shoujo Tokushusen Asuka,37979,Dropped
Mahoutsukai no Yome,35062,Completed
Mahoutsukai no Yome: Gakuin-hen,40134,Completed
Maid of the Dead,20811,Completed
Maiko-san Chi no Makanai-san,41556,On-Hold
Mairimashita! Iruma-kun,39196,Completed
Mairimashita! Iruma-kun 2nd Season,41402,Completed
Mairimashita! Iruma-kun 3rd Season,49784,Watching
Majo no Tabitabi,40571,Completed
Majutsushi Orphen Hagure Tabi,37576,Completed
Majutsushi Orphen Hagure Tabi: Kimluck-hen,41573,Completed
Majutsushi Orphen Hagure Tabi: Tennin no Isan,41549,Completed
Makura no Danshi,30705,Plan to Watch
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",40496,Completed
Maou-jou de Oyasumi,40397,Completed
"Maou-sama, Retry!",38297,Completed
Mars Red,41265,Completed
Masamune-kun no Revenge,33487,Completed
"Masamune-kun no Revenge: Uchi no Mama ni Kagitte/Tsunade Shima, Futatabi./12-Ji o Sugita Shinderera",37377,Completed
Mashiro no Oto,42590,Completed
Mashiro-iro Symphony: The Color of Lovers,10397,Dropped
Mawaru Penguindrum,10721,Plan to Watch
Mayo Chiki!,10110,Completed
Mayonaka no Occult Koumuin,37964,Completed
Mayonaka no Occult Koumuin OVA,39972,Completed
Mayonaka no Occult Koumuin: Fukurokouji to Ano Ko to Ore to,39382,Completed
Märchen Mädchen,35997,Completed
Märchen Mädchen Specials,37973,Completed
Megami-ryou no Ryoubo-kun.,41812,Completed
Meikyuu Black Company,42340,Completed
Mekakucity Actors,21603,Completed
Meng Qi Shi Shen,37618,Dropped
Merc Storia: Mukiryoku no Shounen to Bin no Naka no Shoujo,37232,Completed
Mewkledreamy,40327,Dropped
Midara na Ao-chan wa Benkyou ga Dekinai,38778,Completed
Miira no Kaikata,35828,Plan to Watch
Mini Dragon,48590,Completed
Mirai Nikki (TV),10620,Completed
Mirai no Mirai,36936,Completed
Miru Tights,38935,Completed
Miru Tights: Cosplay Satsuei Tights,40176,Completed
Misaki no Mayoiga,43755,Plan to Watch
Mob Psycho 100,32182,Completed
Mob Psycho 100 II,37510,Completed
Mob Psycho 100 III,50172,Watching
Mob Psycho 100: Dai Ikkai Rei toka Soudansho Ian Ryokou - Kokoro Mitasu Iyashi no Tabi,39651,Completed
Mob Psycho Mini,37504,Completed
Momokuri,30014,Plan to Watch
Mononoke Hime,164,Completed
Monster Musume no Oishasan,40708,Completed
Motto To LOVE-Ru,9181,Completed
Mugen no Juunin: Immortal,39806,Completed
Mugen no Ryvius,593,Plan to Watch
Muhyo to Rouji no Mahouritsu Soudan Jimusho,37487,Completed
Muhyo to Rouji no Mahouritsu Soudan Jimusho 2nd Season,39948,Completed
Munou na Nana,41619,Completed
Murenase! Seton Gakuen,40483,Completed
Murenase! Seton Gakuen Special,41008,Completed
Musaigen no Phantom World,31442,Plan to Watch
Mushikaburi-hime,50923,Watching
Mushoku Tensei: Isekai Ittara Honki Dasu,39535,Completed
Nakanohito Genome [Jikkyouchuu],37926,Completed
Nakanohito Genome [Jikkyouchuu]: Knots of Memories,40460,Completed
Nami yo Kiitekure,40513,Completed
Nande Koko ni Sensei ga!?,38397,Completed
Nande Koko ni Sensei ga!? Nande Koko ni Sensei-tachi ga!?,39689,Completed
"Natsu e no Tunnel, Sayonara no Deguchi",50593,Plan to Watch
Natsunagu!,40738,Completed
Nazo no Kanojo X,12467,Completed
Nazo no Kanojo X: Nazo no Natsu Matsuri,13093,Completed
Nekopara,38924,Completed
Nekopara: Koneko no Hi no Yakusoku,37983,Completed
"Nemure Omoigo, Sora no Shitone ni",30473,Completed
Neon Genesis Evangelion,30,Completed
Neon Genesis Evangelion: The End of Evangelion,32,Completed
Nerawareta Gakuen,14293,Plan to Watch
Net-juu no Susume,36038,Completed
Net-juu no Susume Special,36043,Completed
Netsuzou TRap,34383,Plan to Watch
New Game!,31953,Completed
"New Game! Watashi, Shain Ryokou tte Hajimete nano de...",34277,Completed
New Game!!,34914,Completed
Ni no Kuni,39235,Completed
Nichijou,10165,Completed
Nichijou: Nichijou no 0-wa,8857,Completed
NieA Under 7,800,Plan to Watch
Night Head 2041,43767,Dropped
Nihon Chinbotsu 2020,40515,Completed
Ningyou Tsukai,4774,Plan to Watch
Ninja Collection,42260,Completed
Nisekoi,18897,Completed
Nisekoi OVA,24227,Completed
Nisekoi:,27787,Completed
Nisekoi: OVA,32553,Completed
Nissin Men-nashi Donbei x Himote House,38899,Completed
No Game No Life,19815,Completed
No Game No Life Specials,24991,Completed
No Game No Life: Zero,33674,Completed
No Guns Life,39539,Completed
No Guns Life 2nd Season,40529,Completed
No.6,10161,Completed
Noblesse,41345,Completed
Noblesse: Awakening,32668,Completed
Nobunaga Concerto,24135,Plan to Watch
Nobunaga-sensei no Osanazuma,38814,Completed
Noragami,20507,Completed
Noragami Aragoto,30503,Completed
Noragami Aragoto OVA,30885,Completed
Noragami OVA,20767,Completed
Noumin Kanren no Skill bakka Agetetara Nazeka Tsuyoku Natta.,51128,Watching
Null Peta,40178,Completed
Null Peta: Doki♥ Nurunuru Petapeta! Mizugi-darake no Oneechan Taikai!,40932,Completed
number24,39583,Completed
number24 Recap,41586,Completed
Ochikobore Fruit Tart,39609,Completed
Oda Cinnamon Nobunaga,40136,Completed
Oda Nobuna no Yabou,11933,Plan to Watch
Odd Taxi,46102,Completed
Odd Taxi Movie: In the Woods,50653,Completed
"Omoi, Omoware, Furi, Furare",39753,Completed
Omoide Poroporo,1029,Plan to Watch
One Off,13283,Plan to Watch
One Piece Film: Red,50410,Completed
One Punch Man,30276,Completed
One Punch Man 2nd Season,34134,Completed
One Punch Man 2nd Season Specials,39705,Completed
One Punch Man Specials,31772,Completed
One Punch Man: Road to Hero,31704,Completed
Onna no Sono no Hoshi,52601,Plan to Watch
Orange,32729,Completed
Orange: Mirai,34136,Completed
Ore dake Haireru Kakushi Dungeon,41899,Completed
Ore ga Suki nano wa Imouto dakedo Imouto ja Nai,36632,Dropped
Ore Monogatari!!,28297,Completed
Ore no Kanojo to Osananajimi ga Shuraba Sugiru,14749,Completed
Ore wo Suki nano wa Omae dake ka yo,38483,Completed
Ore wo Suki nano wa Omae dake ka yo: Ore wa Teinei ni Susumeru,40807,Completed
Ore wo Suki nano wa Omae dake ka yo: Oretachi no Game Set,40936,Completed
"Ore, Tsushima",48252,Completed
Osake wa Fuufu ni Natte kara,35484,Plan to Watch
Osananajimi ga Zettai ni Makenai Love Comedy,43007,Completed
Oshi ga Budoukan Ittekuretara Shinu,37890,Completed
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,38555,Completed
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X,42282,Completed
Otona no Bouguya-san,38395,Completed
Otona no Bouguya-san (Rimen),39325,Completed
Otona no Bouguya-san II,42862,Completed
Oushitsu Kyoushi Heine,34262,Plan to Watch
Overlord,29803,Completed
Overlord II,35073,Completed
Overlord III,37675,Completed
Overlord: Ple Ple Pleiades,31138,Completed
Overlord: Ple Ple Pleiades - Clementine Toubou-hen,38693,Completed
Overlord: Ple Ple Pleiades - Nazarick Saidai no Kiki,33372,Completed
Overlord: Ple Ple Pleiades 2,37087,Completed
Overlord: Ple Ple Pleiades 3,37781,Completed
Pale Cocoon,770,Completed
Paprika,1943,Completed
Paripi Koumei,50380,On-Hold
Peach Boy Riverside,42627,Completed
Penguin Highway,37407,Completed
Perfect Blue,437,Completed
Pet,37522,Completed
Peter Grill to Kenja no Jikan,40436,Completed
Peter Grill to Kenja no Jikan: Super Extra,50348,Watching
Planet With,37578,Completed
Planetarian: Chiisana Hoshi no Yume,33091,Completed
Planetarian: Hoshi no Hito,33190,Completed
Plastic Memories,27775,Completed
Plunderer,37345,Completed
Pokemon Legends Arceus: Yuki Hodo Kishi Futaai,51145,Completed
Pole Princess!!,53680,Plan to Watch
Princess Connect! Re:Dive,39292,Completed
Prison School,30240,Completed
Prison School: Mad Wax,32485,Completed
Project Scard: Praeter no Kizu,42825,Completed
Promare,35848,Completed
Psycho-Pass,13601,Completed
Psycho-Pass 2,23281,Completed
Psycho-Pass Movie,21339,Completed
Psycho-Pass Movie: Providence,52747,Plan to Watch
Psycho-Pass: Sinners of the System Case.1 - Tsumi to Batsu,37440,Completed
Psycho-Pass: Sinners of the System Case.2 - First Guardian,37441,Completed
Psycho-Pass: Sinners of the System Case.3 - Onshuu no Kanata ni＿＿,37442,Completed
Pupa,19315,Completed
Qualidea Code,32360,Completed
Radiant,37202,Completed
Radiant 2nd Season,39355,Completed
Rail Romanesque,40958,Completed
Rail Wars!,23309,Plan to Watch
Rakudai Kishi no Cavalry,30296,Completed
Ramen Daisuki Koizumi-san,35298,Plan to Watch
Ranpo Kitan: Game of Laplace,28619,Plan to Watch
RDG: Red Data Girl,14921,Completed
Re:Creators,34561,Completed
Re:Zero kara Hajimeru Break Time,33142,Completed
Re:Zero kara Hajimeru Isekai Seikatsu,31240,Completed
Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna,38414,Completed
Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow,36286,Completed
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,39587,Completed
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,42203,Completed
Release the Spyce,37221,Completed
ReLIFE,30015,Completed
ReLIFE: Kanketsu-hen,35466,Completed
ReLIFE: Kanketsu-hen Specials,37921,Completed
Renai Flops,51403,Watching
RErideD: Tokigoe no Derrida,35835,Completed
Revisions,37436,Dropped
Rifle Is Beautiful,38529,Completed
Rifle Is Beautiful: Zengoku Daikai Is Mokuzen,40769,Completed
Rikei ga Koi ni Ochita no de Shoumei shitemita.,38992,Completed
Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart,43470,On-Hold
Ristorante Paradiso,5984,Plan to Watch
RobiHachi,38707,Dropped
Rokka no Yuusha,28497,Completed
Romantic Killer,52865,Watching
Room Mate,34393,Plan to Watch
Rozen Maiden,64,Completed
Rozen Maiden (2013),18041,Completed
Rozen Maiden: Ouvertüre,1719,Completed
Rozen Maiden: Träumend,65,Completed
Runway de Waratte,40392,Completed
Ryuu to Sobakasu no Hime,44807,Completed
Ryuuou no Oshigoto!,35905,Completed
Ryuusatsu no Kyoukotsu,48589,Plan to Watch
Saenai Heroine no Sodatekata,23277,Completed
Saenai Heroine no Sodatekata ♭,30727,Completed
Saezuru Tori wa Habatakanai: The Clouds Gather,39761,Completed
Saga Incident,40630,Completed
Sakamoto desu ga?,32542,Completed
Sakamoto desu ga? Sakamoto Deshita?,33524,Completed
Sakasama no Patema,12477,Completed
Sakura no Ondo,15393,Plan to Watch
Sakura Trick,20047,Completed
Sakura-sou no Pet na Kanojo,13759,Completed
Sakurada Reset,34102,Completed
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,30187,Watching
Sankarea,11499,Completed
Sankarea OVA,13055,Completed
Sankarea: Wagahai mo... Zombie de Aru...,16694,Completed
Saraiya Goyou,7588,Plan to Watch
Satsuriku no Tenshi,35994,Completed
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,35851,Completed
Sayonara Watashi no Cramer,42774,Completed
Sayonara Watashi no Cramer Movie: First Touch,42798,Completed
Scarlet Nexus,48492,Dropped
Schick x Evangelion,31115,Completed
School Days,2476,Completed
School Days: Magical Heart Kokoro-chan,3328,Completed
School Days: Valentine Days,3759,Completed
Schoolgirl Strikers: Animation Channel,34289,Plan to Watch
Seihou Bukyou Outlaw Star,400,Plan to Watch
Seijo no Maryoku wa Bannou desu,42826,Completed
Seikaisuru Kado: Ninovo,35369,Plan to Watch
Seiken Densetsu: Legend of Mana - The Teardrop Crystal,49304,Watching
Seikimatsu Occult Gakuin,6974,Plan to Watch
Seirei Gensouki,44203,Completed
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,37450,Completed
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,38329,Completed
Sekai Seifuku: Bouryaku no Zvezda,20973,Plan to Watch
Sekkou Boys,31540,Plan to Watch
Sen to Chihiro no Kamikakushi,199,Completed
Sennen Joyuu,1033,Completed
Senryuu Shoujo,38787,Completed
"Sentouin, Hakenshimasu!",41456,Completed
Senyoku no Sigrdrifa,41372,Completed
Senyoku no Sigrdrifa: Dai-909 Senjutsu Hime-tai Sentou Kiroku!,44236,Completed
Seven Knights Revolution: Eiyuu no Keishousha,47391,Completed
Sewayaki Kitsune no Senko-san,38759,Completed
"Shachou, Battle no Jikan desu!",40783,Completed
Shadows House,43439,Completed
Shakunetsu Kabaddi,42395,Completed
Shaman King (2021),42205,Completed
Shashinkan,20671,Completed
Shichisei no Subaru,36316,Completed
Shigatsu wa Kimi no Uso,23273,Completed
Shigatsu wa Kimi no Uso: Moments,28069,Completed
Shiguang Dailiren,44074,Completed
Shikioriori,37396,Completed
"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita",44037,Completed
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,38659,Completed
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru Recap,40849,Completed
Shingeki no Kyojin,16498,Completed
Shingeki no Kyojin OVA,18397,Completed
Shingeki no Kyojin Season 2,25777,Completed
Shingeki no Kyojin Season 3,35760,Completed
Shingeki no Kyojin Season 3 Part 2,38524,Completed
Shingeki no Kyojin: Kuinaki Sentaku,25781,Completed
Shingeki no Kyojin: Lost Girls,36106,Completed
Shingeki no Kyojin: The Final Season,40028,Completed
Shingeki no Kyojin: The Final Season Part 2,48583,On-Hold
Shingetsutan Tsukihime,169,Plan to Watch
Shinigami Bocchan to Kuro Maid,47257,Completed
Shinmai Renkinjutsushi no Tenpo Keiei,49849,Watching
Shinobi no Ittoki,51098,Watching
Shinreigari,2596,Plan to Watch
Shirobako,25835,Completed
Shirobako Movie,37804,Completed
Shirobako Specials,28105,Completed
Shiroi Suna no Aquatope,46093,Completed
Shironeko Project: Zero Chronicle,38843,Completed
Shisha no Teikoku,28625,Completed
Shitcom,16608,Completed
Shoumetsu Toshi,37952,Completed
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,33502,Completed
Shuumatsu no Walküre,44942,Plan to Watch
Sirius,37569,Completed
Skate-Leading☆Stars,40786,Completed
SK∞,42923,Completed
"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",40586,Completed
Somali to Mori no Kamisama,39575,Completed
"Sono Toki, Kanojo wa.",38251,Completed
Sora to Umi no Aida,36000,Dropped
Sora yori mo Tooi Basho,35839,Completed
Sore ga Seiyuu!,29163,Plan to Watch
Soukou Musume Senki,36458,Completed
Sounan desu ka?,39456,Completed
Soutai Sekai,35255,Plan to Watch
Special A,3470,Completed
Spy x Family,50265,Completed
Spy x Family Part 2,50602,Watching
SSSS.Dynazenon,40870,Completed
SSSS.Gridman,35847,Completed
Stand My Heroes: Piece of Truth,38331,Completed
Stranger: Mukou Hadan,2418,Completed
Strike the Blood,18277,Completed
Strike the Blood II,33286,Completed
Strike the Blood III,37449,Dropped
Strike the Blood: Valkyria no Oukoku-hen,30321,Completed
Subarashiki Kono Sekai The Animation,42307,Completed
Sugar Apple Fairy Tale,49980,Plan to Watch
Sugar*Soldier,21773,Completed
Suki tte Ii na yo.,14289,Completed
Suki tte Ii na yo. Dareka ga,16868,Completed
Suki tte Ii na yo. Mei and Marshmallow,17409,Completed
Summer Ghost,48171,Plan to Watch
Summer Wars,5681,Completed
Sunabouzu,25,Plan to Watch
Super Cub,40685,Completed
Super Senko-san Time Episode 12,39995,Completed
Super Shiro,39183,Completed
Suzumiya Haruhi no Shoushitsu,7311,Completed
Suzumiya Haruhi no Yuuutsu,849,Completed
Suzumiya Haruhi no Yuuutsu (2009),4382,Completed
Sword Art Online,11757,Completed
Sword Art Online Alternative: Gun Gale Online,36475,Completed
Sword Art Online Alternative: Gun Gale Online - Refrain,37831,Completed
Sword Art Online Fatal Bullet: The Third Episode,37362,Completed
Sword Art Online Fatal Bullet: The Third Episode - Pilot-ban,37278,Completed
Sword Art Online II,21881,Completed
Sword Art Online II: Debriefing,27891,Completed
Sword Art Online II: Sword Art Offline II,28063,Completed
Sword Art Online Movie: Ordinal Scale,31765,Completed
Sword Art Online: Alicization,36474,Completed
Sword Art Online: Alicization - Recollection,39239,Completed
Sword Art Online: Alicization - War of Underworld,39597,Completed
Sword Art Online: Alicization - War of Underworld 2nd Season,40540,Completed
Sword Art Online: Alicization - War of Underworld Reflection,40489,Completed
Sword Art Online: Extra Edition,20021,Completed
Sword Art Online: Sword Art Offline,16099,Completed
Sword Art Online: Sword Art Offline - Extra Edition,21879,Completed
Taboo Tattoo,29758,Plan to Watch
Tachibanakan Triangle,36943,Plan to Watch
Tada-kun wa Koi wo Shinai,36470,Completed
Taiho Shichau zo,1577,Plan to Watch
Taisou Zamurai,42668,Completed
Tamala 2010: A Punk Cat in Space,2033,Plan to Watch
Tamayomi,39966,Completed
"Tantei wa Mou, Shindeiru.",46471,Completed
Tatakau Shisho: The Book of Bantorra,6758,Plan to Watch
Tate no Yuusha no Nariagari,35790,Completed
Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari,40594,Completed
Tejina-senpai,38610,Completed
Ten Count,37616,Plan to Watch
Tenchi Souzou Design-bu,41762,Completed
Tenchi Souzou Design-bu: Idea 13,46587,Completed
Tenka Hyakken: Meiji-kan e Youkoso!,40320,Completed
Tenki no Ko,38826,Completed
Tenkuu no Shiro Laputa,513,Plan to Watch
Tensai Ouji no Akaji Kokka Saisei Jutsu,47159,Completed
Tensei shitara Ken Deshita,49891,Watching
Tensei shitara Slime Datta Ken,37430,Completed
Tensei shitara Slime Datta Ken 2nd Season,39551,Completed
Tensei shitara Slime Datta Ken 2nd Season Part 2,41487,Completed
Tensei shitara Slime Datta Ken 2nd Season: Kanwa - Veldora Nikki 2,49318,Completed
Tensei shitara Slime Datta Ken OVA,38793,Completed
Tensei shitara Slime Datta Ken: Kanwa - Hinata Sakaguchi,45753,Completed
Tensei shitara Slime Datta Ken: Kanwa - Veldora Nikki,39607,Completed
Tenshi no Tamago,885,Plan to Watch
Tensura Nikki: Tensei shitara Slime Datta Ken,41488,Completed
The Everlasting Guilty Crown,17949,Completed
The God of High School,41353,Completed
The God of High School PV,42893,Completed
The Missing 8,50689,Completed
To LOVE-Ru,3455,Completed
To LOVE-Ru Darkness,13663,Completed
To LOVE-Ru Darkness 2nd,28979,Completed
To LOVE-Ru Darkness 2nd OVA,31380,Completed
To LOVE-Ru Darkness 2nd Specials,31711,Completed
To LOVE-Ru Darkness OVA,13851,Completed
To LOVE-Ru OVA,5667,Completed
To LOVE-Ru: Multiplication - Mae kara Ushiro kara,35000,Completed
Toaru Hikuushi e no Koiuta,19117,Plan to Watch
Toki wo Kakeru Shoujo,2236,Completed
Tokyo Ghoul,22319,Completed
Tokyo Ghoul √A,27899,Completed
"Tokyo Ghoul: ""Jack""",30458,Completed
"Tokyo Ghoul: ""Pinto""",31297,Completed
Tokyo Ghoul:re,36511,Completed
Tokyo Ghoul:re 2nd Season,37799,Completed
Tokyo Godfathers,759,Completed
Tokyo Magnitude 8.0,6211,Completed
Tokyo Revengers,42249,Completed
Tomorrow's Leaves,49467,Plan to Watch
Tonari no Kyuuketsuki-san,37579,Completed
Tonikaku Kawaii,41389,Completed
Toradora!,4224,Completed
Toradora!: Bentou no Gokui,11553,Completed
Toradora!: SOS! Kuishinbou Banbanzai,6127,Completed
Toshokan Sensou,3613,Plan to Watch
Totsukuni no Shoujo,39495,Completed
Totsukuni no Shoujo (2022),48405,Plan to Watch
Trigger-chan,33934,Completed
Trinity Seven,25157,Completed
Trinity Seven Movie 1: Eternity Library to Alchemic Girl,33581,Completed
Trinity Seven: Nanatsu no Taizai to Nana Madoushi,28285,Completed
Try Knights,39527,Dropped
Tsuki ga Kirei,34822,Completed
Tsuki ga Kirei Special,36539,Completed
Tsuki ga Michibiku Isekai Douchuu,43523,Completed
Tsukumogami Kashimasu,36654,Completed
Tsumiki no Ie,5365,Plan to Watch
Tsurezure Children,34902,Completed
Tsurune: Kazemai Koukou Kyuudou-bu,36653,Completed
Tsurune: Kazemai Koukou Kyuudou-bu - Yabai,38921,Completed
Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki desu ka?,38573,Completed
Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki desu ka? Namiuchigiwa no Okaasan wa Suki desu ka?,40102,Completed
Two Car,36009,Plan to Watch
"Uchi no Ko no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai.",39324,Completed
Uchi no Maid ga Uzasugiru!,37722,Completed
Uchi no Maid ga Uzasugiru!: Uchi no Maid wa Yappari Mou Honto Uzainda naa...,39606,Completed
Uchi no Shishou wa Shippo ga Nai,49533,Watching
Uchi Tama?! Uchi no Tama Shirimasen ka?,39942,Completed
Uchuu Show e Youkoso,8115,Plan to Watch
Udon no Kuni no Kiniro Kemari,32673,Plan to Watch
Ueno-san wa Bukiyou,37920,Completed
UFO Gakuen no Himitsu,30850,Plan to Watch
Ultraman,36871,Dropped
Ulysses: Jehanne Darc to Renkin no Kishi,36510,Completed
Umibe no Étranger,40615,Completed
Ura Sekai Picnic,41392,Completed
Uragiri wa Boku no Namae wo Shitteiru,7058,Plan to Watch
Urahara,35250,Plan to Watch
Uramichi Oniisan,40620,Completed
Urashimasakatasen no Nichijou,40197,Completed
Urban Square: Kohaku no Tsuigeki,2690,Plan to Watch
Urusei Yatsura (2022),50710,Watching
Uzaki-chan wa Asobitai!,41226,Completed
Uzaki-chan wa Asobitai! Double,42962,Watching
Val x Love,39799,Completed
Valkyrie Drive: Mermaid,30385,Plan to Watch
Vanitas no Karte,48580,Completed
Vanitas no Karte Part 2,49114,On-Hold
Vinland Saga,37521,Completed
Violet Evergarden,33352,Completed
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",37095,Completed
Virtual-san wa Miteiru,38851,Dropped
Vivy: Fluorite Eye's Song,46095,Completed
Vlad Love,39990,Completed
W'z,37509,Dropped
Wasureta Furi wo Shite,42488,Completed
Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!,16742,Plan to Watch
Watashi ni Tenshi ga Maiorita!,37993,Completed
Watashi ni Tenshi ga Maiorita! Special,38999,Completed
"Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!",37393,Completed
Wave!! Surfing Yappe!! (TV),46118,Dropped
"Wei, Kanjian Erduo La!",38217,Completed
"Wei, Kanjian Erduo La! 2",39380,Completed
Wonder Egg Priority,43299,Completed
Wonder Egg Priority: Watashi no Priority,48614,Completed
Wotaku ni Koi wa Muzukashii,35968,Completed
Wotaku ni Koi wa Muzukashii OVA,38349,On-Hold
Yagate Kimi ni Naru,37786,Completed
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,14813,Completed
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,39547,Completed
Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA,18753,Completed
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,23847,Completed
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,33161,Completed
Yaku nara Mug Cup mo,42568,Completed
Yakusoku no Nanaya Matsuri,37970,Completed
Yakusoku no Neverland,37779,Completed
Yakusoku no Neverland 2nd Season,39617,Completed
Yakusoku no Neverland 2nd Season: Michishirube,47616,Completed
Yami Shibai,19383,Completed
Yami Shibai 2,22537,Completed
Yami Shibai 3,31994,Completed
Yami Shibai 4,34467,Completed
Yami Shibai 5,35714,Completed
Yami Shibai 6,37893,Completed
Yami Shibai 7,39836,Completed
Yami Shibai 8,44208,Completed
Yami Shibai 9,49110,Completed
Yamiyo,39989,Completed
Yatogame-chan Kansatsu Nikki,37940,Completed
Yatogame-chan Kansatsu Nikki Nisatsume,39960,Completed
Yatogame-chan Kansatsu Nikki Sansatsume,42959,Completed
Yesterday wo Utatte,39710,Completed
Yesterday wo Utatte: Haishin-ban Episode,41660,Completed
Yoru no Kuni,48727,On-Hold
Yoru wa Mijikashi Arukeyo Otome,34537,Completed
Youjo Senki,32615,Completed
Youjo Senki Movie,37055,Completed
Youjo Senki: Sabaku no Pasta Daisakusen,49236,Plan to Watch
Youjo Shenki,34742,Completed
Youjo Shenki Episode 0,34723,Completed
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,35507,Completed
Yutori-chan,7770,Plan to Watch
Yuukai Anna,38017,Completed
Yuukoku no Moriarty,40911,Completed
Yuukoku no Moriarty Part 2,43325,Completed
"Yuusha Party wo Tsuihou sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau",52046,Watching
"Yuusha, Yamemasu",50175,Completed
Z/X: Ignition,20533,Plan to Watch
Zankyou no Terror,23283,Completed
Zashiki Warashi no Tatami-chan,41124,Completed
Zetsuen no Tempest,14075,Completed
Zettai Shougeki: Platonic Heart,5020,Plan to Watch
Zombieland Saga,37976,Completed
Zombieland Saga Revenge,40174,Completed
